objectid,beat,Shape__Area,Shape__Length
1, ,209102722.45784,281454.890771227
2,B1,112144227.186523,53375.2656243393
3,E2,8499078.14825439,15395.5216713334
4,E3,8586444.51834106,11960.8478992574
5,B2,65497481.8236084,44021.5123325596
6,B3,53502045.1886902,35910.9394677211
7,C1,47821037.1473389,36812.2757122471
8,C2,10658004.3334351,16038.0397414795
9,F2,32093228.3041534,23915.3557163906
10,K1,4109610.55560303,9303.51118503897
11,K2,5772249.4942627,10899.6683831429
12,C3,76660021.739502,45070.0715942518
13,D1,23442448.4328918,24131.6818992168
14,D2,17200031.9399414,25342.8756113834
15,D3,7075373.70031738,12355.6014788373
16,E1,6379812.40664673,13203.8553163031
17,F1,88226072.0342865,61014.8531419029
18,S3,49786034.4160309,48667.9774374061
19,F3,62461478.1091156,42936.4213260126
20,G1,14840382.5293274,18038.3134429625
21,G2,19358489.9193115,20208.2856623984
22,G3,35075413.6660767,29503.1778796668
23,H1,1172321021.31935,337321.560949284
24,H2,44707436.6739197,96067.5662609452
25,H3,333103067.919586,215388.608547971
26,J1,69461052.7486877,36776.1662980247
27,J2,39166266.276886,32077.4807459787
28,J3,40897431.2430115,26802.3260306888
29,K3,34095673.8702087,29933.0838630118
30,L1,57840630.1373596,33153.5154489987
31,L2,62851190.7799683,40064.222981093
32,L3,173761523.578888,71638.0525183463
33,M1,8532569.74008179,14596.1232918652
34,M2,5376901.66534424,9783.30881706539
35,M3,7194394.75506592,12745.3640238868
36,N1,56119006.2966919,38090.0344525865
37,N2,25510289.170929,24554.9199305796
38,N3,45410069.5089111,41421.7862298395
39,O1,30465998.4663849,26202.9168592511
40,O2,77233855.7971497,49869.0079947976
41,S1,31779979.1508789,27316.2984036108
42,O3,85437932.7309418,63702.1102575858
43,Q1,142456327.632538,54664.277362981
44,Q2,55752411.5070801,34332.5016804626
45,Q3,25393586.8442688,23305.3824563122
46,R1,47051159.8175201,36292.3883150292
47,R2,58858507.0858002,38189.854378567
48,U2,45343655.8630066,40573.1790494391
49,R3,61990350.5167084,45674.4351804454
50,S2,39154447.3100433,42261.2305709577
51,U1,68559395.8182068,42480.2583397297
52,U3,9230530.07250977,12676.9631007748
53,W1,110516266.596527,75588.056316532
54,W2,76042189.8789673,45074.4226774917
55,W3,103771626.517822,54942.4443819596
